,Title,Author,Season,OpeningDate,ClosingDate,Director
0,24-Hour Production,Vanderbilt University Theatre,2013-2014,2014-04-05,2014-04-06,n/a
1,A Shayna Maidel,"Lebow, Barbara",2016-2017,2016-11-04,2016-11-06,"Sosa, Santiago"
2,Beaux' Stratagem,"Farquhar, George",2014-2015,2015-02-13,2015-02-21,"Hallquist, Jon"
3,Cabaret Vanderbilt,Vanderbilt University Theatre,2013-2014,2014-04-16,2014-04-16,"Essin, Christin"
4,Cabaret Vanderbilt: Gender Play,Vanderbilt University Theatre,2016-2017,2017-04-13,2017-04-15,"Essin, Christin"
5,Children's Hour,"Hellman, Lillian",2011-2012,2012-02-17,2012-02-24,"Hallquist, Jon"
6,City of Songs,"Granger, Brian | Vanderbilt University Theatre",2015-2016,2015-11-06,2015-11-14,"Granger, Brian"
7,Cradle Will Rock,"Blitzstein, Marc",2013-2014,2013-11-01,2013-11-09,"Lowe, Leah"
8,Dead Man's Cell Phone,"Ruhl, Sarah",2013-2014,2012-09-27,2012-09-30,"Lowe, Leah"
9,How to Build a Forest,"Damour, Pearl | Hall, Shawn",2013-2014,2014-03-28,2014-03-29,n/a
10,Gnit,"Eno, Will",2016-2017,2017-02-17,2017-02-24,"Malone, Jessika"
11,Good Person of Setzuan,"Brecht, Bertolt",2012-2013,2013-02-15,2013-02-22,"Knox, Wendy"
12,Green Bird,"Gozzi, Carlo",2011-2012,2011-10-28,2011-11-12,"Lowe, Leah"
13,How to End Poverty in 90 Minutes,"Rohd, Michael",2015-2016,2016-02-24,2016-11-28,"Martinez, Rebecca"
14,Kid-Simple: A Radio Play in the Flesh,"Harrison, Jordan",2017-2018,2017-09-29,2017-10-08,"Lowe, Leah"
15,Language Archive,"Cho, Julia",2018-2019,2018-10-05,2018-10-14,"Lowe, Leah"
16,Liar,"Corneille, Pierre",2011-2012,2012-04-06,2012-04-14,"Hallquist, Terryl"
17,Metamorphoses,"Zimmerman, Mary",2015-2016,2015-10-02,2015-10-10,"Lowe, Leah"
18,Misanthrope,Molière,2015-2016,2016-04-07,2016-04-10,"Hallquist, Terryl"
19,Mrs. Warren's Profession,"Shaw, George Bernard",2017-2018,2018-04-05,2018-04-08,"Hallquist, Terryl"
20,Much Ado About Nothing,"Shakespeare, William",2014-2015,2014-09-26,2014-09-28,"Hallquist, Terryl"
21,Neighborhood 3: Requisition of Doom,"Haley, Jennifer",2018-2019,2018-11-02,2018-11-10,"Moulds, Steve"
22,Am I Blue?,"Henley, Beth",2011-2012,2012-04-18,2012-04-18,"Williams, Rob"
23,Spotlight,"Thomas, Buddy",2011-2012,2012-04-19,2012-04-19,"Anderson, Trevor"
24,Nothing Bad is Going to Happen,Vanderbilt University Theatre,2013-2014,2019-04-18,2014-04-19,n/a
25,Orlando,"Woolf, Virginia",2017-2018,2018-02-16,2018-02-24,"Malone, Jessika"
26,Othello,"Shakespeare, William",2016-2017,2016-09-30,2016-10-02,"Hallquist, Terryl"
27,The Whole Truth,"Boyle, Vicki",2013-2014,2013-11-19,2013-11-21,n/a
28,Cement Hands,"Wilder, Thornton",2013-2014,2013-11-19,2013-11-21,n/a
29,The Still Alarm,"Kaufman, George S.",2013-2014,2013-11-19,2013-11-21,n/a
30,Rosencrantz and Guildenstern are Dead,"Stoppard, Tom",2013-2014,2013-09-26,2013-09-29,"Hallquist, Terryl"
31,Shit We Don't Say,Vanderbilt University Theatre,2013-2014,2019-04-18,2014-04-19,n/a
32,The Ballad of 423 and 424,"Pappas, Nicholas C.",2016-2017,2017-04-06,2017-04-08,"Kitchens, Benjamin"
33,This Quintessence of Dust,"Hinkle, Cory",2016-2017,2017-04-06,2017-04-08,"Kitchens, Benjamin"
34,The Wedding Guest,"Moulds, Steve",2016-2017,2017-04-06,2017-04-08,"Lazarz, Hannah"
35,Six Characters in Search of an Author,"Pirandello, Luigi",2017-2018,2017-11-03,2017-11-11,"Ian, David"
36,Suppliants,Aeschylus,2018-2019,2019-04-04,2019-04-07,"Vandenberg, Jonathan"
37,Taming of the Shrew,"Shakespeare, William",2012-2013,2012-11-02,2012-11-10,"Hallquist, Terryl"
38,An Ongoing Examination of the True Meaning of Life,"Senek, S.W.",2012-2013,2012-11-28,2012-11-29,n/a
39,The Red Coat,"Shanley, John Patrick",2012-2013,2012-11-28,2012-11-29,n/a
40,Finger Food,"Shengold, Nina",2012-2013,2012-11-28,2012-11-29,n/a
41,5:15 Greyhound,"Wilhelm, Le",2011-2012,2011-11-30,2011-12-01,n/a
42,Sad Song,"Ziegler, Anna",2011-2012,2011-11-30,2011-12-01,n/a
43,Cover,"Jeffrey, Sweet",2011-2012,2011-11-30,2011-12-01,n/a
44,Top Girls,"Churchill, Caryl",2014-2015,2014-10-31,2014-11-02,"Martin, Sean"
45,Twelfth Night,"Shakespeare, William",2018-2019,2019-02-15,2019-02-23,"Sosa, Santiago"
46,W;t,"Edson, Margaret",2012-2013,2013-04-05,2013-04-13,"Hallquist, Jon"
47,Williams One Acts,"Williams, Tennessee",2014-2015,2015-04-02,2015-04-05,"Lowe, Leah"
48,Winslow Boy,"Rattinger, Terrence",2013-2014,2014-02-20,2014-02-22,"Hallquist, Jon"
